Nota fiscal originadora do controle; Conta - Recebimento;Data de recebimento;Data de envio;Tempo total;
000091728;0677;2017-12-22;2017-12-18;4;
000091729;0119;2017-12-22;2017-12-18;4;
000091731;0042;2018-01-03;2017-12-21;18;
000091722;0042;2018-01-02;2017-12-18;16;
000091723;0028;2017-12-20;2017-12-18;2;
000091739;0677;2017-12-22;2017-12-19;3;
000091740;0085;2017-12-21;2017-12-19;2;
000091741;0085;2018-01-15;2017-12-22;7;
000091743;0085;2017-12-22;2017-12-19;3;
000091761;0038;2018-01-04;2017-12-19;15;
000091887;0018;2018-01-11;2018-01-04;7;
000091890;0042;2018-01-09;2018-01-04;5;
000091897;0042;2018-01-09;2018-01-04;5;
000091898;0042;2018-01-11;2018-01-04;7;
000091903;0677;2018-01-22;2018-01-05;17;
000091911;0042;2018-01-10;2018-01-05;5;
000091912;0113;2018-01-24;2018-01-08;16;
000091913;0677;2018-01-10;2018-01-08;2;
000091914;0112;2018-01-09;2018-01-08;1;
000091915;0018;2018-01-11;2018-01-08;3;
000091916;0070;2018-01-15;2018-01-08;7;
000091920;0085;2018-01-25;2018-01-08;17;
000091925;0085;2018-01-25;2018-01-08;17;
000092027;0677;2018-01-16;2018-01-12;4;
000092028;0038;2018-01-18;2018-01-12;6;
000092035;0028;2018-01-17;2018-01-12;5;
000092051;0042;2018-01-23;2018-01-12;11;
000092052;0085;2018-01-31;2018-01-12;19;
000092053;0070;2018-01-22;2018-01-12;10;
000091766;0042;2018-01-02;2017-12-20;18;
000091767;0085;2018-01-12;2017-12-20;8;
000091768;0677;2018-01-04;2017-12-22;18;
000091769;0018;2018-01-03;2017-12-20;17;
000091770;0018;2018-01-03;2017-12-20;17;
000091771;0085;2017-12-22;2017-12-20;2;
000091772;0085;2018-01-11;2017-12-20;9;
000091929;0038;2018-01-10;2018-01-08;2;
000091930;0042;2018-01-11;2018-01-08;3;
000091966;0028;2018-01-16;2018-01-10;6;
000091979;0085;2018-01-30;2018-01-10;20;
000091752;0110;2018-01-03;2017-12-19;16;
000091753;0028;2017-12-22;2017-12-19;3;
000091757;0085;2018-01-23;2017-12-19;4;
000091758;0085;2018-01-15;2017-12-19;4;
000092217;0042;2018-01-24;2018-01-19;5;
000092236;0677;2018-01-25;2018-01-22;3;
000092237;0120;2018-01-26;2018-01-22;4;
000092240;0113;2018-01-26;2018-01-22;4;
000092246;0028;2018-01-24;2018-01-22;2;
000092247;0038;2018-01-25;2018-01-22;3;
000092249;0042;2018-01-26;2018-01-22;4;
000092262;0677;2018-01-29;2018-01-23;6;
000092263;0677;2018-01-31;2018-01-23;8;
000092271;0112;2018-01-24;2018-01-23;1;
000092279;0018;2018-01-30;2018-01-23;7;
000092283;0042;2018-01-29;2018-01-23;6;
000092303;0042;2018-01-29;2018-01-24;5;
000092304;0085;2018-01-29;2018-01-24;5;
000092305;0028;2018-01-25;2018-01-24;1;
000092306;0119;2018-01-30;2018-01-24;6;
000091940;0677;2018-01-12;2018-01-09;3;
000091947;0038;2018-01-12;2018-01-09;3;
000092086;0085;2018-01-23;2018-01-15;8;
000092087;0042;2018-01-23;2018-01-15;8;
000092101;0070;2018-01-22;2018-01-16;6;
000092103;0677;2018-01-18;2018-01-16;2;
000092104;0018;2018-01-22;2018-01-16;6;
000092105;0028;2018-01-23;2018-01-16;7;
000092116;0038;2018-01-19;2018-01-16;3;
000092120;0014;2018-01-31;2018-01-16;15;
000092121;0042;2018-01-23;2018-01-16;7;
000092123;0085;2018-01-17;2018-01-16;1;
000092142;0038;2018-01-19;2018-01-17;2;
000092143;0018;2018-01-29;2018-01-17;12;
000092145;0028;2018-01-23;2018-01-17;6;
000092146;0085;2018-01-30;2018-01-17;13;
000092148;0085;2018-01-31;2018-01-17;14;
000092149;0042;2018-01-25;2018-01-17;8;
000092172;0677;2018-01-23;2018-01-18;5;
000092173;0677;2018-01-25;2018-01-18;7;
000092175;0112;2018-01-19;2018-01-18;1;
000092176;0825;2018-01-22;2018-01-18;4;
000092181;0018;2018-01-31;2018-01-18;13;
000092182;0038;2018-01-19;2018-01-18;1;
000092186;0085;2018-01-23;2018-01-18;5;
000092187;0119;2018-01-25;2018-01-18;7;
000092274;0038;2018-01-31;2018-01-23;8;
000092275;0070;2018-01-30;2018-01-23;7;
000092079;0038;2018-01-16;2018-01-15;1;
000092343;0677;2018-01-30;2018-01-26;4;
000092345;0028;2018-01-30;2018-01-26;4;
000092346;0038;2018-01-31;2018-01-26;5;
000092348;0085;2018-01-31;2018-01-26;5;
000092315;0038;2018-01-30;2018-01-25;5;
000092316;0028;2018-01-26;2018-01-25;1;
000092329;0042;2018-01-30;2018-01-25;5;
000092330;0028;2018-01-26;2018-01-25;1;
000091980;0112;2018-01-11;2018-01-10;1;
000091982;0028;2018-01-16;2018-01-10;6;
000092009;0113;2018-01-24;2018-01-11;13;
000092010;0018;2018-01-18;2018-01-11;7;
000092011;0085;2018-01-30;2018-01-11;19;
000092018;0018;2018-01-16;2018-01-11;5;
000092021;0042;2018-01-23;2018-01-11;12;
000092070;0113;2018-01-29;2018-01-15;14;
000092072;0112;2018-01-16;2018-01-15;1;
000092073;0018;2018-01-22;2018-01-15;7;
000091796;0038;2017-12-22;2017-12-21;1;
000091816;0110;2018-01-10;2017-12-21;11;
000091817;0042;2018-01-02;2017-12-21;19;
000091819;0018;2018-01-02;2017-12-21;19;
000091822;0042;2018-01-02;2017-12-21;19;
000092342;0677;2018-01-30;2018-01-26;4;
000092171;0093;2018-01-22;2018-01-18;4;
000092201;0028;2018-01-24;2018-01-19;5;
000092202;0080;2018-01-22;2018-01-19;3;
000092203;0677;2018-01-25;2018-01-19;6;
000092204;0038;2018-01-25;2018-01-19;6;
000092207;0038;2018-01-24;2018-01-19;5;
000091834;0085;2018-01-18;2017-12-22;4;
000091835;0042;2018-01-03;2017-12-22;19;
000091868;0038;2018-01-04;2018-01-03;1;
000091869;0018;2018-01-11;2018-01-03;8;
000091873;0042;2018-01-11;2018-01-03;8;
000092364;0028;2018-01-31;2018-01-29;2;
000091874;0018;2018-01-05;2018-01-03;2;
